Good,Hazardous,Moderate,Unhealthy,Unhealthy for Sensitive Groups,Very Unhealthy,years
143.0,6.0,84.0,31.0,67.0,21.0,2012
126.0,15.0,110.0,33.0,55.0,25.0,2013
143.0,21.0,96.0,33.0,59.0,13.0,2014
175.0,5.0,99.0,18.0,41.0,23.0,2015
177.0,7.0,107.0,21.0,41.0,13.0,2016
