Good,Hazardous,Moderate,Unhealthy,Unhealthy for Sensitive Groups,Very Unhealthy,years
143.0,0.0,106.0,7.0,21.0,4.0,2012
172.0,0.0,159.0,3.0,23.0,0.0,2013
203.0,0.0,130.0,4.0,12.0,0.0,2014
268.0,0.0,79.0,2.0,13.0,0.0,2015
304.0,0.0,50.0,0.0,3.0,0.0,2016
