Good,Hazardous,Moderate,Unhealthy,Unhealthy for Sensitive Groups,Very Unhealthy,years
184.0,0.0,106.0,4.0,29.0,1.0,2012
191.0,1.0,111.0,10.0,37.0,6.0,2013
222.0,0.0,117.0,5.0,21.0,0.0,2014
224.0,0.0,105.0,8.0,20.0,1.0,2015
233.0,0.0,102.0,3.0,21.0,0.0,2016
