Good,Hazardous,Moderate,Unhealthy,Unhealthy for Sensitive Groups,Very Unhealthy,years
72,3,100,24,69,14,2012
79,0,155,34,78,6,2013
81,1,162,16,69,13,2014
158,0,143,9,41,5,2015
190,0,144,2,17,3,2016
