Good,Hazardous,Moderate,Unhealthy,Unhealthy for Sensitive Groups,Very Unhealthy,years
41.0,35.0,67.0,71.0,71.0,65.0,2012
28.0,47.0,70.0,64.0,76.0,64.0,2013
33.0,40.0,80.0,52.0,75.0,71.0,2014
60.0,33.0,97.0,39.0,85.0,39.0,2015
72.0,22.0,95.0,35.0,82.0,47.0,2016
